Genre1;Genre
Poezie;Irodalom > Szépirodalom > Vers
Carte Prescolara;Tankönyv, segédkönyv > Óvoda
Carti educative;Tankönyv, segédkönyv
Litere Filologie;Irodalom > Klasszika-filológia
Arta;Művészet
Carti copii in limbi straine;Gyermek- és ifjúsági
Povesti;Gyermek- és ifjúsági > Mesekönyvek
Medicina Pentru Toti;Szakkönyv > Orvosi
Desen Muzica Film Teatru;Művészet
Biografii;Irodalom > Irodalomtörténet > Életrajz
Litere Etnologie;Társadalomtudomány > Néprajz
Atlase Enciclopedii;Szakkönyv > Lexikon, enciklopédia
Filosofie Universala;Társadalomtudomány > Filozófia
Animale Pasari;Hobbi, szabadidő > Kisállatok
Comunicare Jurnalism;Társadalomtudomány > Média
Literatura americana;Irodalom > Szépirodalom > Próza > Világirodalom
Pedagogie Metodica;Tankönyv, segédkönyv > Módszertan
Ingineri;Szakkönyv > Műszaki
Parapsihologie;Életmód, egészség > Ezotéria
Carte Juridica;Társadalomtudomány > Jog
Legislatie;Társadalomtudomány > Jog
Albume Romania;Művészet > Albumok
Comunicare Publicitate;Társadalomtudomány > Média
Dezvoltare Profesionala;Társadalomtudomány > Közgazdaság
Paranormal;Életmód, egészség > Ezotéria
Crestinism;Vallás > Kereszténység
Limbi Straine Copii;Szótár, nyelvkönyv
Minte Corp;Életmód, egészség > Ezotéria
Romane gotice;Irodalom > Szórakoztató irodalom
Franceza;Szótár, nyelvkönyv > Francia
Literatura engleza;Irodalom > Szépirodalom > Próza > Világirodalom
Politica;Társadalomtudomány > Politika
Relatii Internationale;Társadalomtudomány
Sport;Hobbi, szabadidő > Sport
Spiritualitate;Életmód, egészség > Ezotéria
Carti In Dar;Irodalom > Ajándékkönyv
Germana;Szótár, nyelvkönyv > Német
Literatura japoneza;Irodalom > Szépirodalom > Próza > Világirodalom
Masaj Relaxare;Életmód, egészség > Wellness, fitness, jóga
Alimentatie Sanatate;Életmód, egészség > Gasztronómia > Egészséges táplálkozás, diétáskönyvek
Istorii Secrete;Irodalom > Szórakoztató irodalom
Astrologie;Életmód, egészség > Ezotéria > Asztrológia
Sexualitate;Életmód, egészség > Szexológia
Carti Pentru Copii;Gyermek- és ifjúsági
Publicistica;Irodalom > Riportkönyv, tényirodalom
Psihologie Practica;Társadalomtudomány > Pszichológia
Italiana;Szótár, nyelvkönyv > Olasz
Dezv Spirituala;Életmód, egészség > Ezotéria
Software;Szakkönyv > Informatika
Dictionare Romana;Szótár, nyelvkönyv > Magyar
Poezii;Irodalom > Szépirodalom > Vers
Filosofie Romaneasca;Társadalomtudomány > Filozófia
Nuvele;Irodalom > Szépirodalom > Próza
Carti de aventura;Irodalom > Szórakoztató irodalom > Kalandregény
Economie Politica;Társadalomtudomány > Közgazdaság
Genetica Biologie;Természettudomány > Biológia > Genetika, evolúció
Carti pentru adolescenti;Gyermek- és ifjúsági > Ifjúsági irodalom > 14 éves kor felett
Dezvoltarea Afacerilor;Társadalomtudomány > Közgazdaság
Spaniola;Szótár, nyelvkönyv > Spanyol
Partituri Muzicale;Művészet > Zene > Klasszikus zene > Dalgyűjtemények, kották
Lifestyle;Életmód, egészség
Religii Orientale;Vallás
Literatura clasica;Irodalom > Szépirodalom
Manuale Clasa 11;Tankönyv, segédkönyv > 5-12 évfolyam
Manuale Clasa 1;Tankönyv, segédkönyv > 1-4 évfolyam
Civilizatii;Történelem
Ghid Turistic;Hobbi, szabadidő > Utazás > Útikönyvek
Teatru;Irodalom > Szépirodalom > Színművek
Stiinta si filosofie;Társadalomtudomány > Filozófia
Arta Fotografica;Művészet > Fotó
Teste Psihometrice;Társadalomtudomány > Pszichológia
Literatura franceza;Irodalom > Szépirodalom > Próza > Világirodalom
Sfaturi Practice;Életmód, egészség
Carti cu activitati;Gyermek- és ifjúsági > Kifestők, foglalkoztatók
Turism Mediu;Hobbi, szabadidő > Utazás
Harti;Hobbi, szabadidő > Utazás > Térképek, atlaszok
Bricolaj;Hobbi, szabadidő > Kert és lakás > Otthon, lakberendezés > Barkácsolás
