Category,Category_Std
Raftul Premiilor Observator Cultural - Editia 2021,raftul premiilor observator cultural  editia 2021
 Genetica Biologie, genetica biologie
Psihologia ocupationala,psihologia ocupationala
 Ipari képesítések, ipari kepesitesek
 Szexológia, szexologia
Laura Pamfiloiu,laura pamfiloiu
 Literatura portugheza, literatura portugheza
 Recht , recht 
Clasa a XII-a - Informatica si TIC,clasa a xiia  informatica si tic
Raftul FILIT 2024,raftul filit 2024
 Olasz, olasz
Clasa a VII-a - Chimie,clasa a viia  chimie
 Literatura japoneza, literatura japoneza
 Mesekönyvek , mesekonyvek 
" Ének, zene", enek zene
Poezie,poezie
"Generalitati, istoria religiilor",generalitati istoria religiilor
 Audiolibros , audiolibros 
 Allergia, allergia
Carti horror,carti horror
 Hinduizmus, hinduizmus
 Krimi, krimi
 Tudományfilozófia, tudomanyfilozofia
Medicina complementara,medicina complementara
Ruxandra Burcescu,ruxandra burcescu
Retele si comunicatii,retele si comunicatii
Design interior,design interior
 Egészséges életmód, egeszseges eletmod
 Calendar , calendar 
 Spiritualitate, spiritualitate
 Livre de poche , livre de poche 
Audiobook,audiobook
 Poezie, poezie
 Testépítés, testepites
Robert Șerban,robert serban
Miscellaneous,miscellaneous
Romance,romance
Sport,sport
Greenpeace non-fiction,greenpeace nonfiction
 Dezvoltare Personala, dezvoltare personala
 Kinder- und Jugendbücher , kinder und jugendbucher 
 Psihologie, psihologie
Cultura urbana si traditionala,cultura urbana si traditionala
Clasa a VIII-a - Limba si literatura romana,clasa a viiia  limba si literatura romana
 Ének, enek
 Meditative Arts, meditative arts
Ciprian Macesaru,ciprian macesaru
Literatura columbiana,literatura columbiana
 Geisteswissenschaften allgemein, geisteswissenschaften allgemein
 Grafológia, grafologia
Filosofie,filosofie
Dezvoltarea Afacerilor,dezvoltarea afacerilor
Clasa a VI-a - Limba engleza,clasa a via  limba engleza
Stiinte exacte. Matematici,stiinte exacte matematici
Romantici,romantici
 Útleírások , utleirasok 
 Beaux Livres , beaux livres 
"Eu, ego, identitate, personalitate",eu ego identitate personalitate
Raftul One World ediția a 17-a,raftul one world editia a 17a
 Magyar művelődéstörténet, magyar muvelodestortenet
Carti de colorat pentru adulti,carti de colorat pentru adulti
Literatura portugheza,literatura portugheza
Top produse 2024 - Carte românească,top produse 2024  carte romaneasca
Kabala,kabala
Psihologia familiei,psihologia familiei
" Okkultizmus, spiritizmus", okkultizmus spiritizmus
 Keleti tanítások, keleti tanitasok
SF,sf
 Művelődéstörténet, muvelodestortenet
 Általános iskola, altalanos iskola
" Gesundheit, Körperpflege ", gesundheit korperpflege 
Chimie,chimie
 Gasztronómia , gasztronomia 
Slow Holiday,slow holiday
Psihologia criminalistica si legala,psihologia criminalistica si legala
Ciclul liceal - Cursuri limbi straine,ciclul liceal  cursuri limbi straine
 Frumusete, frumusete
 Gasztronómia, gasztronomia
 Critica, critica
 Livres Scolaires Allemandes, livres scolaires allemandes
"Biografii, memorii, jurnale",biografii memorii jurnale
"Film, TV, radio",film tv radio
 Őstörténet és honfoglalás, ostortenet es honfoglalas
Filosofie social-politica,filosofie socialpolitica
 Humanities , humanities 
 Könnyített olvasmányok, konnyitett olvasmanyok
" Health, Hygiene ", health hygiene 
 Istoria Romanilor, istoria romanilor
 Roman Grafic, roman grafic
"Carte, substantiv feminin",carte substantiv feminin
"Teorie generala, jurisprudenta",teorie generala jurisprudenta
 Literatura norvegiana, literatura norvegiana
" Guidebooks, Self-help ", guidebooks selfhelp 
 Felsőoktatás, felsooktatas
Carti cu sunete,carti cu sunete
Clasa pregatitoare - Limba engleza,clasa pregatitoare  limba engleza
Literatura elvetiana,literatura elvetiana
 Arts, arts
 Foclor, foclor
World Music,world music
 Droit , droit 
Arheologie,arheologie
 Comunicare, comunicare
 Művelődéstörténet , muvelodestortenet 
 Módszertan, modszertan
 German as a Foreign Language, german as a foreign language
 Ezotéria , ezoteria 
Literatura rusa,literatura rusa
 Legislatie Rutiera, legislatie rutiera
 Kinder- und Jugendbücher, kinder und jugendbucher
General,general
Clasa a V-a - Geografie,clasa a va  geografie
 Reiseführer , reisefuhrer 
Muzeologie,muzeologie
 English , english 
 Klasszika-filológia, klasszikafilologia
 Romane Cyberpunk, romane cyberpunk
" Mathematik, Naturwissenschaften, Technik ", mathematik naturwissenschaften technik 
Vasile Ernu,vasile ernu
Clasa a IV-a - Stiinte ale naturii,clasa a iva  stiinte ale naturii
Ioan Es. Pop,ioan es pop
Carti In Dar,carti in dar
 Szakkönyv , szakkonyv 
Manuale Clasa 6,manuale clasa 6
Raftul cu prețuri super prietenoase - Non-ficțiune,raftul cu preturi super prietenoase  nonfictiune
Puzzle,puzzle
 Rhymes and Songs, rhymes and songs
 Mathematik , mathematik 
Ciclul primar,ciclul primar
 Általános iparművészet, altalanos iparmuveszet
Light novel,light novel
Despre drepturi și libertăți,despre drepturi si libertati
Pentru copii,pentru copii
 Publicistica, publicistica
 Illustrated Books , illustrated books 
Fictiune mitologica si istorica,fictiune mitologica si istorica
Politica si diplomatie,politica si diplomatie
Mircea Cartarescu,mircea cartarescu
Young adult,young adult
Cristina Nemerovschi,cristina nemerovschi
Lifestyle digital,lifestyle digital
"Casa, gradina, familie",casa gradina familie
Ciclul primar - Cursuri limbi straine,ciclul primar  cursuri limbi straine
 Magyar építészet, magyar epiteszet
Clasa pregatitoare - Stiinte ale naturii,clasa pregatitoare  stiinte ale naturii
Literatura suedeza,literatura suedeza
Burse Asigurari,burse asigurari
Tatiana Niculescu,tatiana niculescu
Carti Pentru Copii,carti pentru copii
Clasa a III-a - Limba engleza,clasa a iiia  limba engleza
 Berufsschulbücher, berufsschulbucher
Daniela Luca,daniela luca
Scena9,scena9
 Közgazdaság , kozgazdasag 
 Ingineri, ingineri
Litere Critica Literara,litere critica literara
 Vallástörténet, vallastortenet
" Hobby, Freizeit, Natur", hobby freizeit natur
Folk/Country,folkcountry
Norman Manea,norman manea
 Literatura israeliana, literatura israeliana
Carti bilingve,carti bilingve
" Lernhilfen, Abiturwissen", lernhilfen abiturwissen
" Földművelés, növénytermesztés", foldmuveles novenytermesztes
Stiinta&Filosofie,stiintafilosofie
 Művészettörténet, muveszettortenet
Clasa I - Limba germana,clasa i  limba germana
 Ezoterikus filozófia, ezoterikus filozofia
 Gitár, gitar
" Kommunikáció, tárgyalástechnika", kommunikacio targyalastechnika
 Földrajz, foldrajz
Finante si contabilitate,finante si contabilitate
 Kunst, kunst
" Märchen, Sagen, Legenden", marchen sagen legenden
 Bélyeggyűjtés, belyeggyujtes
 Literatura australiana, literatura australiana
Ana Rotea,ana rotea
" Otthon, lakberendezés ", otthon lakberendezes 
 Literatura ceha, literatura ceha
Romane SF,romane sf
 Biografii Memorii Jurnale, biografii memorii jurnale
 Művelődés, muvelodes
" Science Fiction, Fantasy", science fiction fantasy
 Művészet , muveszet 
 Kunst , kunst 
 1848-49, 184849
Medicina Veterinara,medicina veterinara
Andrei Craciun,andrei craciun
 Rendelésre készülő könyvek , rendelesre keszulo konyvek 
Literatura chineza,literatura chineza
" Environmental Sciences, Agriculture and Forestry", environmental sciences agriculture and forestry
Alimentatie Sanatate,alimentatie sanatate
 Hadászat, hadaszat
 Vízisportok, vizisportok
Albume Romania,albume romania
" Főiskola, egyetem ", foiskola egyetem 
 Labdajátékok, labdajatekok
Gabriela Adamesteanu,gabriela adamesteanu
 Literatura islandeza, literatura islandeza
" Unterrichtsmat., Lehrer", unterrichtsmat lehrer
 Albumok , albumok 
Clasa Pregatitoare,clasa pregatitoare
Raftul FNT 2023,raftul fnt 2023
Fictiune erotica,fictiune erotica
Cărți recomandate de Adriana Mitu,carti recomandate de adriana mitu
 Technikatörténet, technikatortenet
 Educative, educative
Alina Purcaru,alina purcaru
 Inteligenta emotionala, inteligenta emotionala
 Economics , economics 
Florin Iaru,florin iaru
Carti postale,carti postale
Cultura Generala,cultura generala
 Kinderbeschäftigung, kinderbeschaftigung
 Biológia , biologia 
 Sarcina, sarcina
Estetica,estetica
Drept constitutional,drept constitutional
 Értékesítés, ertekesites
 Falinaptár , falinaptar 
" Reiseberichte, Reiseerzählungen", reiseberichte reiseerzahlungen
Tehnologie: generalitati,tehnologie generalitati
 Ifjúsági irodalom , ifjusagi irodalom 
Agende,agende
 Carti cu sunete, carti cu sunete
 Historia , historia 
Minte Corp,minte corp
 Festészet, festeszet
Romane mitologice si istorice,romane mitologice si istorice
 Angol nyelvű könyvek, angol nyelvu konyvek
 Kortárs művészet, kortars muveszet
Filosofie populara,filosofie populara
 Novelas , novelas 
Practic Pentru Copii,practic pentru copii
 Iroda és otthon, iroda es otthon
Clasa a V-a - Limba si literatura romana,clasa a va  limba si literatura romana
 Téli sportok, teli sportok
In cautarea fericirii,in cautarea fericirii
" Művészet, design", muveszet design
Alex Moldovan,alex moldovan
" Schoolbooks, Readings, Interpretations", schoolbooks readings interpretations
"Antichitati, colectii",antichitati colectii
Metafizica si ontologie,metafizica si ontologie
 Sozialwissenschaften allgemein, sozialwissenschaften allgemein
Relatii publice,relatii publice
 Pocket Books , pocket books 
 Literatura Romana, literatura romana
Ghiduri si referinte,ghiduri si referinte
Beletristica,beletristica
Bogdan‑Alexandru Stănescu,bogdanalexandru stanescu
 Helytörténet , helytortenet 
Cambridge University Press,cambridge university press
 Kinderbeschäftigung , kinderbeschaftigung 
"Lifestyle, fashion",lifestyle fashion
 Kereszténység, keresztenyseg
" Oktató CD, DVD, Kazetta ", oktato cd dvd kazetta 
Carti pentru adolescenti,carti pentru adolescenti
Romane inspirate de Holocaust,romane inspirate de holocaust
Ruxandra Cesereanu,ruxandra cesereanu
 Szakácskönyvek, szakacskonyvek
" Livres Scolaires, Éducation des Adultes", livres scolaires education des adultes
Carti erotice,carti erotice
Literatura poloneza,literatura poloneza
Memorii Jurnal,memorii jurnal
 Műszaki-technikusi, muszakitechnikusi
Recomandări Alina Mărculescu Matiș,recomandari alina marculescu matis
Razvan Tupa,razvan tupa
 Zene, zene
Animale Pasari,animale pasari
Umor,umor
Clasa a VI-a - Geografie,clasa a via  geografie
SF & Fantasy,sf  fantasy
" Gesundheit, Körperpflege", gesundheit korperpflege
 Szakácskönyvek , szakacskonyvek 
Romane Nordic Noir,romane nordic noir
 Dezvoltare Profesionala, dezvoltare profesionala
 Beletristica, beletristica
Mihaela Coșescu,mihaela cosescu
 A török hódoltság kora, a torok hodoltsag kora
 Maps , maps 
 Romane mitologice si istorice, romane mitologice si istorice
 Law , law 
" Metafizika, ismeretelmélet", metafizika ismeretelmelet
"Pictura, grafica, alte forme artistice",pictura grafica alte forme artistice
 Alkalmazott közgazdaságtan , alkalmazott kozgazdasagtan 
Rock,rock
 Újkor, ujkor
Spaniola,spaniola
 Carti de colorat, carti de colorat
 Egyetemes művelődéstörténet, egyetemes muvelodestortenet
Andreea Niță,andreea nita
Raftul Brand Minds 2024,raftul brand minds 2024
Prima pagina,prima pagina
Dezvoltare Profesionala,dezvoltare profesionala
 First Reading, first reading
Corp. Cunoaștere. Conexiuni. Ediția a doua,corp cunoastere conexiuni editia a doua
 Építészeti képzés, epiteszeti kepzes
" Karten, Stadtpläne", karten stadtplane
" Religion, Theologie ", religion theologie 
" Correspondances, Mémoires, Biographies", correspondances memoires biographies
 Vallás , vallas 
Raftul traducatorului - Dinu Flamand,raftul traducatorului  dinu flamand
 Fabule, fabule
 Logika, logika
 Orvosi , orvosi 
 Penal, penal
