Publisher;Publisher_Std
Mental Focus Kiadó Kft.;mental focus kiado kft
Etalon Kft.;etalon kft
KRONOSZ KÖNYVKIADÓ Kft.;kronosz konyvkiado kft
Leviter Kft. és Nemzetközi NPL;leviter kft es nemzetkozi npl
Sprint;sprint
Cor Leonis kiadó;cor leonis kiado
PRAE.HU;praehu
Lampion Könyvek;lampion konyvek
Osiris Kiadó;osiris kiado
BABOR KREATÍV STÚDIÓ;babor kreativ studio
Pelikán Kiadó;pelikan kiado
Szeretetföldje Kiadó;szeretetfoldje kiado
Mogul Kiadó;mogul kiado
Erdély Történeti Alapítvány;erdely torteneti alapitvany
Leviter Kiadó;leviter kiado
PARNASSZUS KIADÓ;parnasszus kiado
Lector Kiadó Marosvásárhely;lector kiado marosvasarhely
Felsőmagyarország Kiadó;felsomagyarorszag kiado
TreeFa World Productions Kft.;treefa world productions kft
OZ ©pica;oz pica
Időjel Kiadó;idojel kiado
Bestseller Expert Kft.;bestseller expert kft
Oriold és Társai Kft.;oriold es tarsai kft
HERALDIKA KIADÓ;heraldika kiado
Vad Virágok Kiadó Kft.;vad viragok kiado kft
Magyar Kurír-Ecclesia;magyar kurirecclesia
Artmagazin Kft.;artmagazin kft
Debreceni Egyetem Történelmi Intéze;debreceni egyetem tortenelmi inteze
Lukács Zoltán Gábor e.v.;lukacs zoltan gabor ev
VIVANDRA KFT;vivandra kft
Kálvin Kiadó;kalvin kiado
TARANDUS KFT.;tarandus kft
Joshua Könyvek;joshua konyvek
JEL-Sarutlan Kármelita Nõvérek;jelsarutlan karmelita noverek
Erdélyi Szalon-IAT Kiadó;erdelyi szaloniat kiado
Russica Pannonicana;russica pannonicana
Szépirodalmi Figyelő;szepirodalmi figyelo
Eleven Books;eleven books
Europe Village Kft.;europe village kft
Poligráf Kiadó;poligraf kiado
Ventus Libro Kiadó;ventus libro kiado
1956-os Intézet;1956os intezet
RendezvényBiblia Kft.;rendezvenybiblia kft
BOOOK KIADÓ KFT;boook kiado kft
Magyarország a középkori Európában;magyarorszag a kozepkori europaban
Jogállam és Igazság Nonprofit Kft.;jogallam es igazsag nonprofit kft
Lingea Kft.;lingea kft
Luther Kiadó;luther kiado
Ezvankiadó Kft.;ezvankiado kft
Marysol könyvkiadó;marysol konyvkiado
Vince Kiadó;vince kiado
Tipp-Cult Kft.;tippcult kft
Aión Publishing Kft.;aion publishing kft
Book Dreams Kft.;book dreams kft
Smaragd Kiadó;smaragd kiado
Anehoo;anehoo
Antológia Kiadó;antologia kiado
Well-Press Kiadó Kft.;wellpress kiado kft
Ludovika Egyetemi Kiadó;ludovika egyetemi kiado
Cartographia Kiadó;cartographia kiado
PATENT'S KFT.;patents kft
Nikol Kkt.;nikol kkt
Diafilm Kft.;diafilm kft
Móra-Bookr Kids Kft.;morabookr kids kft
Pannon-Literatúra Kft.;pannonliteratura kft
3BT Műhelye;3bt muhelye
Carta TEEN;carta teen
Balatonfüredi Városért Közalapítv.;balatonfuredi varosert kozalapitv
K2 kreativitás & kommunikáció Bt.;k2 kreativitas  kommunikacio bt
Sawasawa Kiadó;sawasawa kiado
YaraSa Books;yarasa books
Novum Publishing Gmbh;novum publishing gmbh
