Publisher;Publisher_Std
Új Város Alapítvány;uj varos alapitvany
Külső Magyarok Kft.;kulso magyarok kft
Twister Media Kft.;twister media kft
Unio Mystica Kiadó;unio mystica kiado
HITEL KÖNYVKIADÓ KFT.;hitel konyvkiado kft
InwestMentors Hungary Kft.;inwestmentors hungary kft
Victoria Kiadó;victoria kiado
Moira-22 Bt.;moira22 bt
A Tan Kapuja;a tan kapuja
Püski-Masszi Könyvesház Kft.;puskimasszi konyveshaz kft
Konkrét Könyvek;konkret konyvek
Good Life Books;good life books
Skandi-Wald Könyvkiadó Kft.;skandiwald konyvkiado kft
TERC Kft.;terc kft
SpringMed Kiadó;springmed kiado
Mathias Corvinus Collegium/Tihanyi;mathias corvinus collegiumtihanyi
HERMIT KIADÓ;hermit kiado
Könyv Népe Kiadó Kft.;konyv nepe kiado kft
Manager Könyvkiadó és Könyvkereskedő Kft.;manager konyvkiado es konyvkereskedo kft
Libri - JAK;libri  jak
Bagira Oktatási és Sport Közhasznú;bagira oktatasi es sport kozhasznu
BELSŐ HANG BT.;belso hang bt
TOTEL SZERVÍZ KFT.;totel szerviz kft
Kopp Mária Intézet a Népesedésért;kopp maria intezet a nepesedesert
Marketing Kiadó;marketing kiado
Magyar Konyha Magazin Kft.;magyar konyha magazin kft
Kárpátia Stúdió Kft.;karpatia studio kft
LEI Magyarországi Egyesülete;lei magyarorszagi egyesulete
Patmos Records Ker.és Kiad. Szerv.;patmos records keres kiad szerv
Lelkesedés - Tanulás - Szabadság;lelkesedes  tanulas  szabadsag
TranzPress Kft.;tranzpress kft
PHARMA-PRESS NYOMDAIPARI KFT;pharmapress nyomdaipari kft
CAHS Kiadó;cahs kiado
Heti Válasz Kiadó;heti valasz kiado
H-Blues Kft;hblues kft
Technosys Bt.;technosys bt
Warrior Hungary Kft.;warrior hungary kft
Figyelem Kiadó;figyelem kiado
H.C.L. Kft.;hcl kft
PATHYIA KIADÓ;pathyia kiado
Magyar Nagylexikon Kiadó;magyar nagylexikon kiado
KRONOSZ KÖNYVKIADÓ Kft.;kronosz konyvkiado kft
Caeta Könyvkiadó;caeta konyvkiado
HarperCollins Magyarország Kft;harpercollins magyarorszag kft
Gabo Kft.;gabo kft
Muszty-Dobay Bt.;musztydobay bt
Ariton Kft;ariton kft
Vinton kiadó kft.;vinton kiado kft
Jupiter Kft.;jupiter kft
Lucullus 2000 Bt.;lucullus 2000 bt
Rubicon-Ház Bt.;rubiconhaz bt
Update Magyarország ZRt.;update magyarorszag zrt
NOVOTRADE KIADÓ KFT.;novotrade kiado kft
Enigma Books;enigma books
Mission is Possible;mission is possible
Cartographia Kiadó;cartographia kiado
FEHÉR SAS PÁHOLY ALAPÍTVÁNY;feher sas paholy alapitvany
ExSol-Group Kft.;exsolgroup kft
ELITE COSMETIX KFT;elite cosmetix kft
Babusz Bt.;babusz bt
Teknős könyvek;teknos konyvek
Komáromy Publishing;komaromy publishing
Amrita Kiadó;amrita kiado
Vad Virágok Kiadó Kft.;vad viragok kiado kft
Educatio Kht.;educatio kht
Nikol Kkt.;nikol kkt
Könyvfakasztó Kiadó;konyvfakaszto kiado
MMA Kiadó Nonprofit Kft.;mma kiado nonprofit kft
Freytag-Berndt Budapest;freytagberndt budapest
Norbi Update Zrt.;norbi update zrt
Saldo;saldo
Mayer Consulting s. r. o.;mayer consulting s r o
BELSŐ EGÉSZSÉG KIADÓ;belso egeszseg kiado
Kortina Kiadó;kortina kiado
Aréna 2000 Kiadó;arena 2000 kiado
Látóhatár Kiadó Kft.;latohatar kiado kft
Elektra Kiadóház;elektra kiadohaz
Lama Plus Kft.;lama plus kft
Tudomány Kiadó;tudomany kiado
Book s& Stuff Bt.;book s stuff bt
Titokfejtő Könyvkiadó;titokfejto konyvkiado
KKETTK Alapítvány;kkettk alapitvany
Satori-Book Kiadó;satoribook kiado
Holistic Kiadó;holistic kiado
KERESKEDELMI ÉS IDEGENFORG. TOVÁBBL;kereskedelmi es idegenforg tovabbl
PLG Publishing Kft.;plg publishing kft
Ventus Commerce Kft.;ventus commerce kft
Attraktor;attraktor
Replica Kiadó kft.;replica kiado kft
Galenus Kiadó;galenus kiado
Szépmíves Könyvek;szepmives konyvek
Új Mani-Fest Kiadó;uj manifest kiado
Konsept-H Könyvkiadó;konsepth konyvkiado
Gondolat Kiadói Kör;gondolat kiadoi kor
LILLIPUT KÖNYVKIADÓ;lilliput konyvkiado
ELTE TTK Hallgatói Alapítvány;elte ttk hallgatoi alapitvany
KÖNYVPONT KFT.;konyvpont kft
Boook Kiadó Kft.;boook kiado kft
Wellprint Kft;wellprint kft
Olvasni Menő Kiadó;olvasni meno kiado
Zrínyi Kiadó;zrinyi kiado
One Media;one media
Sybilla Humán-egészségügyi Kft.;sybilla humanegeszsegugyi kft
Figura Könyvkiadó;figura konyvkiado
PestiSrácok.hu;pestisracokhu
Neosz Kiadó;neosz kiado
Computerbooks;computerbooks
Savaria Univers Press Alap.;savaria univers press alap
NEMZETI TANKÖNYVKIADÓ RT.;nemzeti tankonyvkiado rt
LaBeGer Hungary Kft;labeger hungary kft
Bluemoon Könyvek;bluemoon konyvek
Totel Books;totel books
Patmos Records;patmos records
Multiverzum Kiadó;multiverzum kiado
Rainbow-Slide Kiadó;rainbowslide kiado
ELTE Eötvös Kiadó;elte eotvos kiado
Pongrác Kiadó;pongrac kiado
In Dynamics Consulting;in dynamics consulting
Ecclesia Kiadó;ecclesia kiado
MEDIABOOK KIADÓ;mediabook kiado
Katalizátor Pedagógusképző Kp. Bt.;katalizator pedagoguskepzo kp bt
Enigma Könyvek;enigma konyvek
Bio Ter BT.;bio ter bt
Expert Books;expert books
MIND Publishing Hungary;mind publishing hungary
Antológia Kiadó;antologia kiado
Havas Kiadó;havas kiado
& kiadó;kiado
Martin Opitz Kiadó;martin opitz kiado
Antarész Kiadó;antaresz kiado
Lázár János és Csepreghy Nándor;lazar janos es csepreghy nandor
NORDTÚRA NONPROFIT RENDEZVÉNY- ÉS P;nordtura nonprofit rendezveny es p
T&T BERUHÁZÁSI TANÁCSADÓ KFT;tt beruhazasi tanacsado kft
Kedves László Könyvműhelye;kedves laszlo konyvmuhelye
Invicta Books;invicta books
Párkapcsolat Coaching és Mediációs;parkapcsolat coaching es mediacios
Olvass magadnak! Kiadó;olvass magadnak kiado
MRO 2000 KFT.;mro 2000 kft
Könyvklub Kft.;konyvklub kft
Danvantara kft;danvantara kft
Deák És Társa Kiadó;deak es tarsa kiado
Elektromédia Kft. Kiadó;elektromedia kft kiado
Dialóg Campus;dialog campus
Szent István-Bazilika Gondnoksága;szent istvanbazilika gondnoksaga
NewLine Kiadó;newline kiado
Chartelemzés.hu Kft;chartelemzeshu kft
Tazo Kkt;tazo kkt
Editorial Kft.;editorial kft
M & C Marketing Tanácsadó Kft.;m  c marketing tanacsado kft
NHK Naphegy Kiadó Kft.;nhk naphegy kiado kft
Múlt és Jövő Alapítvány;mult es jovo alapitvany
Köteles 2000 Kiadó;koteles 2000 kiado
Pallas Antikvárium;pallas antikvarium
Lektűr Kiadó;lektur kiado
Gabriel Méry-RATIO;gabriel meryratio
Mátrix Média Kft.;matrix media kft
Családi Könyvklub;csaladi konyvklub
MAGYAR KAPU ALAPITVÁNY;magyar kapu alapitvany
TOTEM KÖNYVKIADÓ;totem konyvkiado
Uzletikonyv.hu;uzletikonyvhu
Kronosz Kiadó;kronosz kiado
Arcus Kiadó;arcus kiado
PIROSKA PRESS KIADÓ;piroska press kiado
Századvég Kiadó;szazadveg kiado
