Author;Author_Std
Ieromonah Damaschin;ieromonah damaschin
Don Miguel Ruiz, Janet Mills;don miguel ruiz janet mills
Theophile Gautier;theophile gautier
Arcadie Suceveanu;arcadie suceveanu
Bogdan S. Pirvu;bogdan s pirvu
Virgil Diaconu;virgil diaconu
Vasile Pop;vasile pop
Emilian Hutu;emilian hutu
George Badarau;george badarau
Rabindranath Tagore;rabindranath tagore
Costache Negruzzi;costache negruzzi
Adriana Sarmiza Dumay;adriana sarmiza dumay
M. Roman, L. Chira, V. Chereji;m roman l chira v chereji
Heather Rae;heather rae
Coleridge;coleridge
Gabriel Albu;gabriel albu
Tony Brill;tony brill
Cristina Neamtu;cristina neamtu
Raluca Balatchi, Sanda-Maria Ardeleanu;raluca balatchi sandamaria ardeleanu
Avva Isaia;avva isaia
Mihai-Iosif Mihai;mihaiiosif mihai
Dan Bozaru;dan bozaru
Dan Voiculescu;dan voiculescu
Marcel Pages;marcel pages
Eileen Caddy;eileen caddy
Max Guilmot;max guilmot
Sabin Croitoru;sabin croitoru
Virgil Podoaba;virgil podoaba
Sorin Parvu;sorin parvu
Josephine Cox;josephine cox
N.E. Pestov;ne pestov
Liviu Alexandru Marghitas;liviu alexandru marghitas
Ciprian Mihali;ciprian mihali
Tamara Mckinley;tamara mckinley
Adrian Plescau;adrian plescau
H. Tristram Engelhardt;h tristram engelhardt
Christopher Booker, Richard North;christopher booker richard north
Ion Vladoiu;ion vladoiu
Mihail Ursachi;mihail ursachi
Elena Ciudin;elena ciudin
Dinu M. Antonescu;dinu m antonescu
Pamela Anderson;pamela anderson
Pascal Bruckner, Alain Finkielkraut;pascal bruckner alain finkielkraut
Al Ries, Laura Ries;al ries laura ries
Teofil Paraian;teofil paraian
Tiberiu Constantin Medeanu, Bianca Oproescu, Ovidiu Oproescu;tiberiu constantin medeanu bianca oproescu ovidiu oproescu
Louis Bordeau;louis bordeau
Ileana Tanase;ileana tanase
Gootschalk;gootschalk
Elena Emilian;elena emilian
Cristache Gheorghiu;cristache gheorghiu
George V. Grigore;george v grigore
Fernando de Rojas;fernando de rojas
Procopie P. Clontea, Alina Miu, Lucretia Carloanta;procopie p clontea alina miu lucretia carloanta
Hary Bela, Jodal Gabor, Vermesy Peter;hary bela jodal gabor vermesy peter
Sebastian P. Brock, Susan Ashbrook;sebastian p brock susan ashbrook
Marin Sorescu;marin sorescu
John Gray;john gray
Petre Ispirescu;petre ispirescu
M. Oanea, D. Oanea, M. Dudau, F. Dudau, T. Stefanica, R. Stefanica;m oanea d oanea m dudau f dudau t stefanica r stefanica
Lucretia Titirca;lucretia titirca
Eric Berne;eric berne
Arsenie Boca;arsenie boca
Jean-Claude Larchet;jeanclaude larchet
Stelian Ionascu;stelian ionascu
Omraan Mikhael Aivanhov;omraan mikhael aivanhov
Adrian Paunescu;adrian paunescu
Ljiljana Habjanovic Durovic;ljiljana habjanovic durovic
Knott Mutch;knott mutch
Petru Neghiu;petru neghiu
Evagrie Ponticul;evagrie ponticul
David Icke;david icke
Fanchon Pradalier-Roy;fanchon pradalierroy
Wislawa Szymborska;wislawa szymborska
Nicolae Isar;nicolae isar
Ovidiu Dragos Argesanu;ovidiu dragos argesanu
Gabriel Bunge;gabriel bunge
Nicodim Aghioritul;nicodim aghioritul
G.G. Vlad;gg vlad
Howard Gardner;howard gardner
Kevin Macdonald;kevin macdonald
Erwin W. Lutzer;erwin w lutzer
Johanna Spyri;johanna spyri
Victor Papilian;victor papilian
