ID;Title;Title_Std;Author;Author_Std;Price;Reviews;Score;Genre1;Genre1_Std;Genre2;Genre2_Std;Genre3;Genre3_Std;Genre4;Genre4_Std;Number_Of_Pages;Publisher;Publisher_Std;Cover_Type;Cover_Type_Std;Publishing_Date;Language;Language_Std;Translator
B1300;A sokszínű alkalmazott nyelvészet - Tanulmányok az alkalmazott nyelvészet területeiről;a sokszinu alkalmazott nyelveszet  tanulmanyok az alkalmazott nyelveszet teruleteirol;Hattyár Helga;hattyar helga;25.0;5.0;5.0;Nyelvészet;nyelveszet;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;204;;;ISBN: 9786155219306;isbn 9786155219306;N/A;magyar;magyar;N/A
B1316;Nyelvhasználat a médiában;nyelvhasznalat a mediaban;Gecső Tamás (szerk.);gecso tamas szerk;31.0;5.0;5.0;Nyelvészet;nyelveszet;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;212;;;ISBN: 9786155219443;isbn 9786155219443;N/A;magyar;magyar;N/A
B1320;A vallás körüli felségjogok;a vallas koruli felsegjogok;Boncz Ferenc;boncz ferenc;68.0;1.0;5.0;Jog;jog;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;198;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2790000004709;isbn 2790000004709;2012;magyar;magyar;N/A
B1322;A társországok közjogi viszonya a magyar államhoz;a tarsorszagok kozjogi viszonya a magyar allamhoz;Br. Jeszenszky Béla;br jeszenszky bela;68.0;1.0;5.0;Jog;jog;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;164;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2790000004730;isbn 2790000004730;2012;magyar;magyar;N/A
B1329;Három nyelvből készült oskolai lexicon, vagyis szókönyv, mellyet a magyar ifjúság számára most harmadszor deák nyelvel megbővítve kiadott Márton József - Első darab. Német-magyar-deák rész;harom nyelvbol keszult oskolai lexicon vagyis szokonyv mellyet a magyar ifjusag szamara most harmadszor deak nyelvel megbovitve kiadott marton jozsef  elso darab nemetmagyardeak resz;Márton József;marton jozsef;68.0;5.0;5.0;Szótárak;szotarak;Német;nemet;Szótár, nyelvkönyv;szotar nyelvkonyv;Könyv;konyv;496;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400000788;isbn 5992400000788;2012;magyar;magyar;N/A
B1330;Három nyelvből készült oskolai lexicon, vagyis szókönyv, mellyet a magyar ifjúság számára most harmadszor deák nyelvel megbővítve kiadott Márton József - Második darab. Magyar-német-deák rész;harom nyelvbol keszult oskolai lexicon vagyis szokonyv mellyet a magyar ifjusag szamara most harmadszor deak nyelvel megbovitve kiadott marton jozsef  masodik darab magyarnemetdeak resz;Márton József;marton jozsef;68.0;1.0;5.0;Szótárak;szotarak;Német;nemet;Szótár, nyelvkönyv;szotar nyelvkonyv;Könyv;konyv;365;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2790000004860;isbn 2790000004860;2012;magyar;magyar;N/A
B1380;A Felsőházak szervezete a főbb államokban. Politikai tanulmány.;a felsohazak szervezete a fobb allamokban politikai tanulmany;dr. ifj. Vutkovich Sándor;dr ifj vutkovich sandor;68.0;5.0;5.0;Jog;jog;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;321;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400001938;isbn 5992400001938;2012;magyar;magyar;N/A
B1383;A vallás körüli felségjogok;a vallas koruli felsegjogok;Boncz Ferenc;boncz ferenc;68.0;5.0;5.0;Jog;jog;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;198;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2790000004709;isbn 2790000004709;2012;magyar;magyar;N/A
B1385;A társországok közjogi viszonya a magyar államhoz;a tarsorszagok kozjogi viszonya a magyar allamhoz;Br. Jeszenszky Béla;br jeszenszky bela;68.0;5.0;5.0;Jog;jog;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;164;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2790000004730;isbn 2790000004730;2012;magyar;magyar;N/A
B1392;Három nyelvből készült oskolai lexicon, vagyis szókönyv, mellyet a magyar ifjúság számára most harmadszor deák nyelvel megbővítve kiadott Márton József - Első darab. Német-magyar-deák rész;harom nyelvbol keszult oskolai lexicon vagyis szokonyv mellyet a magyar ifjusag szamara most harmadszor deak nyelvel megbovitve kiadott marton jozsef  elso darab nemetmagyardeak resz;Márton József;marton jozsef;68.0;5.0;5.0;Szótárak;szotarak;Német;nemet;Szótár, nyelvkönyv;szotar nyelvkonyv;Könyv;konyv;496;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5992400000788;isbn 5992400000788;2012;magyar;magyar;N/A
B1393;Három nyelvből készült oskolai lexicon, vagyis szókönyv, mellyet a magyar ifjúság számára most harmadszor deák nyelvel megbővítve kiadott Márton József - Második darab. Magyar-német-deák rész;harom nyelvbol keszult oskolai lexicon vagyis szokonyv mellyet a magyar ifjusag szamara most harmadszor deak nyelvel megbovitve kiadott marton jozsef  masodik darab magyarnemetdeak resz;Márton József;marton jozsef;68.0;4.0;5.0;Szótárak;szotarak;Német;nemet;Szótár, nyelvkönyv;szotar nyelvkonyv;Könyv;konyv;365;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 2790000004860;isbn 2790000004860;2012;magyar;magyar;N/A
B1485;A társadalom ruhája;a tarsadalom ruhaja;Rados Virág (szerk.);rados virag szerk;10.0;4.0;5.0;Politika;politika;Történelem;tortenelem;Könyv;konyv;;;94;Új Mandátum Könyvkiadó;uj mandatum konyvkiado;ISBN: 9639494402;isbn 9639494402;2003;magyar;magyar;N/A
B1548;A lengyel paraszt Európában és Amerikában 3.;a lengyel paraszt europaban es amerikaban 3;William Isaac Thomas;william isaac thomas;29.0;11.0;4.5;Szociológia;szociologia;Társadalomtudomány;tarsadalomtudomany;Könyv;konyv;;;289;Új Mandátum Könyvkiadó;uj mandatum konyvkiado;ISBN: 9799639494267;isbn 9799639494267;2003;magyar;magyar;N/A
B1777;Alfa - Vérmacskák 6.;alfa  vermacskak 6;Rachel Vincent;rachel vincent;31.0;11.0;4.5;Kortárs;kortars;14 éves kor felett;14 eves kor felett;Ifjúsági irodalom;ifjusagi irodalom;Gyermek- és ifjúsági;gyermek es ifjusagi;462;Könyvmolyképző Kiadó Kft.;konyvmolykepzo kiado kft;ISBN: 9789633991701;isbn 9789633991701;2014;magyar;magyar;N/A
B1778;Alfa - Vérmacskák 6.;alfa  vermacskak 6;Rachel Vincent;rachel vincent;31.0;4.0;5.0;Kortárs;kortars;14 éves kor felett;14 eves kor felett;Ifjúsági irodalom;ifjusagi irodalom;Gyermek- és ifjúsági;gyermek es ifjusagi;462;Könyvmolyképző Kiadó Kft.;konyvmolykepzo kiado kft;ISBN: 9789633991701;isbn 9789633991701;2014;magyar;magyar;N/A
B2265;Magyarország történelmi földrajza a Hunyadiak korában V.;magyarorszag tortenelmi foldrajza a hunyadiak koraban v;Csánki Dezső;csanki dezso;104.0;11.0;4.5;Középkor;kozepkor;Magyar történelem;magyar tortenelem;Történelem;tortenelem;Könyv;konyv;971;Históriaantik Könyvesház;historiaantik konyveshaz;ISBN: 5990000000511;isbn 5990000000511;2011;magyar;magyar;N/A
B4221;"Moleskine notesz QP061R kemény piros ""L"" kockás";moleskine notesz qp061r kemeny piros l kockas;;;104.0;14.0;5.0;;;;;;;;;;Moleskine;moleskine;13 X 21 cm;13 x 21 cm;2015;magyar;magyar;N/A
B4222;"Moleskine notesz city CN004 kemény fekete ""P"" London - MOLESKINE CITY NOTEBOOK LONDON (BLACK)";moleskine notesz city cn004 kemeny fekete p london  moleskine city notebook london black;;;61.0;14.0;5.0;Jegyzetfüzet, notesz, toll;jegyzetfuzet notesz toll;Ajándék, utalványok;ajandek utalvanyok;;;;;;Moleskine;moleskine;228 lap;228 lap;2015;magyar;magyar;N/A
B4223;"Moleskine jegyzetfüzet CAHIER 3db QP416 barna ""L"" vonalas";moleskine jegyzetfuzet cahier 3db qp416 barna l vonalas;;;76.0;0.0;0.0;;;;;;;;;80;Moleskine;moleskine;13x21 cm;13x21 cm;2015;magyar;magyar;N/A
B4224;"Moleskine vázlatfüzet QP014 fekete ""P"" sima";moleskine vazlatfuzet qp014 fekete p sima;;;95.0;14.0;5.0;;;;;;;;;;Moleskine;moleskine;80 lap;80 lap;2015;magyar;magyar;N/A
B4226;"Moleskine notesz REPORTER QP513 kemény fekete ""P"" sima";moleskine notesz reporter qp513 kemeny fekete p sima;;;61.0;14.0;5.0;Jegyzetfüzet, notesz, toll;jegyzetfuzet notesz toll;Ajándék, utalványok;ajandek utalvanyok;;;;;;Moleskine;moleskine;192 lap;192 lap;2015;magyar;magyar;N/A
B4227;"Moleskine notesz QP617 puha fekete ""L"" kockás";moleskine notesz qp617 puha fekete l kockas;;;99.0;14.0;5.0;;;;;;;;;;Moleskine;moleskine;192 lap;192 lap;2015;magyar;magyar;N/A
B4228;"Moleskine notesz QP611 puha fekete ""P"" vonalas";moleskine notesz qp611 puha fekete p vonalas;;;80.0;14.0;5.0;Jegyzetfüzet, notesz, toll;jegyzetfuzet notesz toll;Ajándék, utalványok;ajandek utalvanyok;;;;;;Moleskine;moleskine;192 lap;192 lap;2015;magyar;magyar;N/A
B4229;"Moleskine notesz QP612 puha fekete ""P"" kockás";moleskine notesz qp612 puha fekete p kockas;;;80.0;14.0;5.0;;;;;;;;;;Moleskine;moleskine;192 lap;192 lap;2015;magyar;magyar;N/A
B4240;"Moleskine notesz Beauty & Beast LEBB01QP060BS barna ""L"" vonalas";moleskine notesz beauty  beast lebb01qp060bs barna l vonalas;;;72.0;0.0;0.0;Jegyzetfüzet, notesz, toll;jegyzetfuzet notesz toll;Ajándék, utalványok;ajandek utalvanyok;;;;;;Moleskine;moleskine;240 oldal;240 oldal;2017;magyar;magyar;N/A
B4335;Einfach zuhören und Willenskraft und Selbstdisziplin entwickeln. 2 CD;einfach zuhoren und willenskraft und selbstdisziplin entwickeln 2 cd;Grünn, Hans;grunn hans;104.0;14.0;5.0;Lebensführung allgemein;lebensfuhrung allgemein;Ratgeber;ratgeber;Sachbuch, Ratgeber;sachbuch ratgeber;Hörbücher;horbucher;;;;ISBN: 3932235487;isbn 3932235487;N/A;német;nemet;N/A
B4339;10: WENN ICH EIN PFERDCHEN WÄR - Kronenpferdchen. Meins oder Deins;10 wenn ich ein pferdchen war  kronenpferdchen meins oder deins;Munck, Hedwig;munck hedwig;42.0;0.0;0.0;Geschichten, Reime;geschichten reime;Kinder- und Jugendbücher;kinder und jugendbucher;Hörbücher;horbucher;Idegen nyelvű;idegen nyelvu;;;;ISBN: 3899459296;isbn 3899459296;N/A;német;nemet;N/A
